City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
309,vallenar,-28.5708,-70.7581,30.37,34,0,5.11,CL,1736356572
310,rongelap,11.1635,166.8941,27.58,77,35,10.74,MH,1736356095
311,shengli,37.4564,118.4856,-4.82,33,0,4.37,CN,1736356642
312,chifeng,42.2683,118.9636,-13.5,42,6,8.89,CN,1736356643
313,rizokarpaso,35.6,34.375,14.75,69,80,2.73,CY,1736356571
314,aigio,38.2486,22.0819,15.58,80,48,2.71,GR,1736356645
315,hohhot,40.8106,111.6522,-11.9,48,0,2.27,CN,1736356452
316,alice springs,-23.7,133.8833,25.75,36,66,2.06,AU,1736356648
317,las heras,-46.5419,-68.9359,25.64,24,14,15.38,AR,1736356466
318,paulden,34.8856,-112.4682,5.81,42,8,3.13,US,1736356650
319,ulladulla,-35.35,150.4667,17.34,80,100,2.98,AU,1736356651
320,mugia,43.1041,-9.2179,15.51,84,97,13.99,ES,1736356652
321,lata,40.1629,-8.3327,12.61,91,99,3.47,PT,1736356653
322,dubbo,-32.25,148.6167,16.07,82,0,4.12,AU,1736356654
323,mahdishahr,35.7108,53.3556,2.15,76,89,0.7,IR,1736356655
324,norilsk,69.3535,88.2027,-19.47,97,99,1.82,RU,1736356657
325,windsor,42.3001,-83.0165,-3.95,68,100,3.6,CA,1736356202
326,suva,-18.1416,178.4415,25.71,73,75,5.66,FJ,1736356659
327,leninskoye,41.7589,69.3864,-8.74,75,31,2.09,KZ,1736356660
328,sao jose da coroa grande,-8.8978,-35.1478,28.89,59,23,5.34,BR,1736356661
329,salekhard,66.53,66.6019,-30.36,99,6,0.41,RU,1736356662
330,khandyga,62.6667,135.6,-37.34,100,93,0.77,RU,1736356063
331,codrington,-38.2667,141.9667,18.21,74,100,1.84,AU,1736356664
332,bandar,2.05,99.75,22.31,99,100,1.04,ID,1736356666
333,hachinohe,40.5,141.5,-0.28,66,16,6.95,JP,1736356667
334,pacific grove,36.6177,-121.9166,12.58,68,0,2.06,US,1736356547
335,anlu,31.1661,112.5831,3.87,31,59,1.49,CN,1736356669
336,vila franca do campo,37.7167,-25.4333,18.23,89,97,6.49,PT,1736356670
337,luanco,43.6152,-5.7934,18.29,55,57,5.81,ES,1736356671
338,kalmunai,7.4167,81.8167,24.95,86,18,4.25,LK,1736356672
339,ulety,51.3572,112.4849,-24.0,98,12,0.96,RU,1736356371
340,nova xavantina,-14.6667,-52.35,27.53,81,100,0.65,BR,1736356674
341,isla del bosque,22.7333,-105.85,24.18,44,100,3.81,MX,1736356676
342,quellon,-43.1167,-73.6167,15.78,84,98,2.41,CL,1736356677
343,north bend,43.4065,-124.2243,7.95,87,100,0.0,US,1736356678
344,saposoa,-6.934,-76.7716,30.45,58,99,1.5,PE,1736356679
345,faya-largeau,17.9257,19.1043,22.28,20,80,4.39,TD,1736356680
346,tarawa,1.419,172.984,27.05,83,40,5.14,KI,1736356681
347,jayapura,-2.5333,140.7,22.66,89,54,1.41,ID,1736356682
348,jianguang,28.1938,115.7836,9.3,26,89,4.72,CN,1736356683
349,kinablangan,7.6947,126.5503,24.57,88,87,1.94,PH,1736356685
350,tadine,-21.55,167.8833,22.32,77,26,4.04,NC,1736356686
351,bayanaul,50.7889,75.6956,-20.56,94,18,4.07,KZ,1736356687
352,labasa,-16.4167,179.3833,24.21,96,100,1.82,FJ,1736356688
353,al mijlad,11.0333,27.7333,25.4,13,2,4.32,SD,1736356689
354,ziro,27.6333,93.8333,5.32,92,99,0.54,IN,1736356690
355,khash,28.2211,61.2158,4.85,45,100,3.4,IR,1736356691
356,recreo,-29.2818,-65.061,39.08,18,4,8.62,AR,1736356692
357,comodoro rivadavia,-45.8667,-67.5,29.92,23,0,9.26,AR,1736356624
358,heinola,61.2056,26.0381,-2.98,97,100,0.79,FI,1736356695
359,cabo san lucas,22.8909,-109.9124,22.51,64,100,8.23,MX,1736356606
